PHYLUM		KINGDOM		SUPERKINGDOM
acanthocephala	animalia	eukaryota
animalia	animalia	eukaryota
annelida	animalia	eukaryota
arachnida	animalia	eukaryota
arthropoda	animalia	eukaryota
brachiopoda	animalia	eukaryota
bryozoa		animalia	eukaryota
priapulida	animalia	eukaryota
chaetognatha	animalia	eukaryota
chordata	animalia	eukaryota
cnidaria	animalia	eukaryota
ctenophora	animalia	eukaryota
dicyemida	animalia	eukaryota
echinodermata	animalia	eukaryota
entoprocta	animalia	eukaryota
gastrotricha	animalia	eukaryota
gnathostomulida	animalia	eukaryota
hemichordata	animalia	eukaryota
kamptozoa	animalia	eukaryota
kinorhyncha	animalia	eukaryota
micrognathozoa	animalia	eukaryota
mollusca	animalia	eukaryota
nematoda	animalia	eukaryota
nematomorpha	animalia	eukaryota
nemertea	animalia	eukaryota
onychophora	animalia	eukaryota
orthonectida	animalia	eukaryota
phoronida	animalia	eukaryota
placozoa	animalia	eukaryota
platyhelminthes	animalia	eukaryota
porifera	animalia	eukaryota
rotifera	animalia	eukaryota
sipuncula	animalia	eukaryota
tardigrada	animalia	eukaryota
xenacoelomorpha	animalia	eukaryota
archaea		archaea		archaea
thorarchaeota	archaea		archaea
candidatus_bathyarchaeota	archaea	archaea
candidatus_heimdallarchaeota	archaea	archaea
candidatus_helarchaeota	archaea	archaea
korarchaeota	archaea	archaea
promethearchaeota	archaea	archaea
candidatus_micrarchaeota	archaea	archaea
candidatus_nanohaloarchaeota	archaea	archaea
thermoplasmatota 	archaea	archaea
thermoproteota		archaea	archaea
korarchaeota		archaea	archaea
methanobacteriota	archaea	archaea
nanobdellota		archaea	archaea
nitrososphaerota	archaea	archaea
thermoproteota	archaea	archaea
acidobacteriota	bacteria	bacteria
actinomycetota	bacteria	bacteria 
aquificota	bacteria	bacteria
armatimonadota	bacteria	bacteria
atribacterota	bacteria	bacteria
bacillota	bacteria	bacteria
bacteria	bacteria	bacteria
candidatus_methylomirabilota	bacteria	bacteria
bacteria_pauc34f	bacteria	bacteria
bacteria_sbr1093	bacteria	bacteria
bacteroidota	bacteria	bacteria
balneolota	bacteria	bacteria
bdellovibrionota bacteria	bacteria
caldisericota	bacteria	bacteria
calditrichota	bacteria	bacteria
campylobacterota bacteria	bacteria
candidatus_sumerlaeota bacteria	bacteria
candidate_division_cpr1		bacteria	bacteria
candidate_division_cpr2		bacteria	bacteria
candidate_division_cpr3		bacteria	bacteria
candidate_division_ksb3		bacteria	bacteria
candidatus_absconditibacteriota bacteria	bacteria
candidate_division_ta06		bacteria	bacteria
candidatus_saganbacteria 	bacteria	bacteria
candidate_division_wor_3 	bacteria	bacteria
candidate_division_wwe3		bacteria	bacteria
candidate_division_zixibacteria bacteria	bacteria
candidatus_absconditibacteriota bacteria	bacteria
candidatus_aerophobota		bacteria	bacteria
candidatus_aminicenantota	bacteria	bacteria
candidatus_babeliae		bacteria	bacteria
candidatus_berkelbacteria	bacteria	bacteria
candidatus_binatota		bacteria	bacteria
candidatus_bipolaricaulota	bacteria	bacteria
candidatus_cloacimonadota	bacteria	bacteria
candidatus_dadabacteria		bacteria	bacteria
candidatus_delongiibacteriota	bacteria	bacteria
candidatus_babelota		bacteria	bacteria
candidatus_desantisiibacteriota	bacteria	bacteria
candidatus_dojkabacteria	bacteria	bacteria
candidatus_doudnaibacteriota	bacteria	bacteria
candidatus_fermentibacteria	bacteria	bacteria
candidatus_handelsmaniibacteriota	bacteria	bacteria
candidatus_hydrogenedentota	bacteria	bacteria
candidatus_joergenseniibacteriota	bacteria	bacteria
candidatus_komeiliibacteriota	bacteria	bacteria
candidatus_krryptoniota		bacteria	bacteria
candidatus_latescibacterota	bacteria	bacteria
candidatus_magasanikiibacteriota	bacteria	bacteria
fidelibacterota	bacteria	bacteria
candidatus_nealsoniibacteriota	bacteria	bacteria
candidatus_omnitrophota		bacteria	bacteria
candidatus_parcubacteria	bacteria	bacteria
candidatus_peregrinibacteria	bacteria	bacteria
candidatus_portnoyibacteria	bacteria	bacteria
candidatus_rifleibacteriota	bacteria	bacteria
candidatus_rokuibacteriota	bacteria	bacteria
candidatus_saccharibacteria	bacteria	bacteria
candidatus_sungiibacteria	bacteria	bacteria
candidatus_tectimicrobiota	bacteria	bacteria
candidatus_wirthbacteria	bacteria	bacteria
candidatus_zambryskiibacteriota	bacteria	bacteria
chlamydiota			bacteria	bacteria
chlorobiota	bacteria	bacteria
chloroflexota	bacteria	bacteria
chrysiogenota	bacteria	bacteria
coprothermobacterota	bacteria	bacteria
cyanobacteriota	bacteria	bacteria
deferribacterota	bacteria	bacteria
deinococcota	bacteria	bacteria
delta_epsilon_subdivisions	bacteria	bacteria
dictyoglomota	bacteria	bacteria
elusimicrobiota	bacteria	bacteria
fcb_group	bacteria	bacteria
fibrobacterota	bacteria	bacteria
fusobacteriota	bacteria	bacteria
gemmatimonadota	bacteria	bacteria
ignavibacteriota	bacteria	bacteria
kiritimatiellota	bacteria	bacteria
lentisphaerota	bacteria	bacteria
microgenomates	bacteria	bacteria
candidatus_beckwithiibacteriota	bacteria	bacteria
candidatus_daviesiibacteriota	bacteria	bacteria
candidatus_gottesmaniibacteriota	bacteria	bacteria
candidatus_woeseibacteriota	bacteria	bacteria
candidatus_roizmaniibacteriota	bacteria	bacteria
candidatus_curtissiibacteriota	bacteria	bacteria
candidatus_paceibacterota	bacteria	bacteria
candidatus_levyibacteriota	bacteria	bacteria
candidatus_shapironibacteriota	bacteria	bacteria
candidatus_collieribacteriota	bacteria	bacteria
mycoplasmatota	bacteria	bacteria
myxococcota	bacteria	bacteria
nitrospinota	bacteria	bacteria
nitrospirota	bacteria	bacteria
patescibacteria_group	bacteria	bacteria
planctomycetota	bacteria	bacteria
poribacteria	bacteria	bacteria
pseudomonadota	bacteria	bacteria
rhodothermota	bacteria	bacteria
sar406_clade	bacteria	bacteria
sbr1093		bacteria	bacteria
spirochaetota	bacteria	bacteria
synergistota	bacteria	bacteria
thermodesulfobacteriota	bacteria	bacteria
thermomicrobiota 	bacteria	bacteria
thermotogota	bacteria	bacteria
